Lutron MAP Schedule (effective 2/8/2026),,,,
"All resellers and their customers are subject to Lutron’s full MAP policy terms, applicable to the relevant products being advertised and sold. These can be found at www.lutron.com/salespolicies and are incorporated by reference herein. While Sellers remain free to advertise and sell all of our products (including the Covered Product) at any price, it is a violation of the Policy for a Seller to advertise any Covered Product at a price lower than the MAP.",,,,
SKU,DESCRIPTION,MAP,U.P.C.,
MACL-L3T251-LA,MA LED+ 75W/2.5A DMR/TMR,$68.95,784276310734,
MACL-L3T251-MN,MA LED+ 75W/2.5A DMR/TMR,$73.95,784276310758,
MACL-L3T251-PD,MA LED+ 75W/2.5A DMR/TMR,$73.95,784276310789,
MACL-L3T251-SW,MA LED+ 75W/2.5A DMR/TMR,$73.95,784276310741,
MACL-L3T251-TP,MA LED+ 75W/2.5A DMR/TMR,$73.95,784276310796,
MACL-L3T251-WH,MA LED+ 75W/2.5A DMR/TMR,$68.95,784276813327,
MA-PRO-AL,MAESTRO PRO LED DIMMER AL,$67.95,784276261500,
MA-PRO-BI,MAESTRO PRO LED DIMMER BI,$78.95,784276261524,
MA-PRO-BL,MAESTRO PRO LED DIMMER BL,$67.95,784276261531,
MA-PRO-BR,MAESTRO PRO LED DIMMER BR,$67.95,784276261548,
MA-PRO-GR,MAESTRO PRO LED DIMMER GR,$67.95,784276261586,
MA-PRO-HT,MAESTRO PRO LED DIMMER HT,$78.95,784276261609,
MA-PRO-IV,MAESTRO PRO LED DIMMER IV,$67.95,784276261616,
MA-PRO-LA,MAESTRO PRO LED DIMMER LA,$67.95,784276261623,
MA-PRO-MN,MAESTRO PRO LED DIMMER MN,$78.95,784276261647,
MA-PRO-PD,MAESTRO PRO LED DIMMER PD,$78.95,784276261678,
MA-PRO-SW,MAESTRO PRO LED DIMMER SW,$78.95,784276261722,
MA-PRO-TP,MAESTRO PRO LED DIMMER TP,$78.95,784276261746,
MA-PRO-WH,MAESTRO PRO LED DIMMER WH,$67.95,784276261760,
MA-T51MNB-WH,MAESTRO 3A FAN MULT 5LVL TIMER WH,$37.95,784276337304,
